Block,Cultivar,Trt,Source,Count
2,Fieldry,April,SoilCount,49
2,Fieldry,April,SoilCount,278
3,Fieldry,April,SoilCount,73
3,Fieldry,April,SoilCount,305
3,Fieldry,April,SoilCount,53
3,Fieldry,April,SoilCount,33
4,Fieldry,April,SoilCount,33
4,Fieldry,April,SoilCount,249
4,Fieldry,April,SoilCount,26
4,Fieldry,April,SoilCount,13
1,Fieldry,control,SoilCount,50
1,Fieldry,control,SoilCount,76
1,Fieldry,control,SoilCount,30
1,Fieldry,control,SoilCount,23
2,Fieldry,control,SoilCount,53
2,Fieldry,control,SoilCount,42
2,Fieldry,control,SoilCount,75
2,Fieldry,control,SoilCount,86
3,Fieldry,control,SoilCount,73
3,Fieldry,control,SoilCount,242
3,Fieldry,control,SoilCount,68
3,Fieldry,control,SoilCount,165
4,Fieldry,control,SoilCount,126
4,Fieldry,control,SoilCount,7
4,Fieldry,control,SoilCount,38
4,Fieldry,control,SoilCount,59
1,Fieldry,June,SoilCount,0
1,Fieldry,June,SoilCount,152
1,Fieldry,June,SoilCount,11
1,Fieldry,June,SoilCount,13
2,Fieldry,June,SoilCount,0
2,Fieldry,June,SoilCount,14
2,Fieldry,June,SoilCount,30
2,Fieldry,June,SoilCount,17
3,Fieldry,June,SoilCount,7
3,Fieldry,June,SoilCount,118
3,Fieldry,June,SoilCount,60
3,Fieldry,June,SoilCount,17
4,Fieldry,June,SoilCount,79
4,Fieldry,June,SoilCount,97
4,Fieldry,June,SoilCount,23
4,Fieldry,June,SoilCount,7
1,Fieldry,May,SoilCount,3
1,Fieldry,May,SoilCount,21
1,Fieldry,May,SoilCount,4
1,Fieldry,May,SoilCount,7
2,Fieldry,May,SoilCount,59
2,Fieldry,May,SoilCount,21
2,Fieldry,May,SoilCount,8
2,Fieldry,May,SoilCount,10
3,Fieldry,May,SoilCount,33
3,Fieldry,May,SoilCount,242
3,Fieldry,May,SoilCount,57
3,Fieldry,May,SoilCount,53
4,Fieldry,May,SoilCount,26
4,Fieldry,May,SoilCount,14
4,Fieldry,May,SoilCount,8
4,Fieldry,May,SoilCount,59
1,Chemain,April,RootCount,320
1,Chemain,April,RootCount,772
1,Chemain,April,RootCount,0
1,Chemain,April,RootCount,56
2,Chemain,April,RootCount,324
2,Chemain,April,RootCount,830
2,Chemain,April,RootCount,74
2,Chemain,April,RootCount,104
3,Chemain,April,RootCount,66
3,Chemain,April,RootCount,1
3,Chemain,April,RootCount,34
3,Chemain,April,RootCount,1
4,Chemain,April,RootCount,27
4,Chemain,April,RootCount,173
4,Chemain,April,RootCount,75
4,Chemain,April,RootCount,23
1,Chemain,control,RootCount,319
1,Chemain,control,RootCount,321
1,Chemain,control,RootCount,44
1,Chemain,control,RootCount,32
2,Chemain,control,RootCount,51
2,Chemain,control,RootCount,12
2,Chemain,control,RootCount,120
2,Chemain,control,RootCount,150
3,Chemain,control,RootCount,202
3,Chemain,control,RootCount,5
3,Chemain,control,RootCount,16
3,Chemain,control,RootCount,75
4,Chemain,control,RootCount,35
4,Chemain,control,RootCount,87
4,Chemain,control,RootCount,12
4,Chemain,control,RootCount,13
1,Chemain,June,RootCount,163
1,Chemain,June,RootCount,664
1,Chemain,June,RootCount,47
1,Chemain,June,RootCount,37
2,Chemain,June,RootCount,80
2,Chemain,June,RootCount,319
2,Chemain,June,RootCount,3
2,Chemain,June,RootCount,73
3,Chemain,June,RootCount,12
3,Chemain,June,RootCount,50
3,Chemain,June,RootCount,20
3,Chemain,June,RootCount,7
4,Chemain,June,RootCount,29
4,Chemain,June,RootCount,6
4,Chemain,June,RootCount,20
4,Chemain,June,RootCount,19
1,Chemain,May,RootCount,161
1,Chemain,May,RootCount,171
1,Chemain,May,RootCount,81
1,Chemain,May,RootCount,26
2,Chemain,May,RootCount,20
2,Chemain,May,RootCount,18
2,Chemain,May,RootCount,4
2,Chemain,May,RootCount,3
3,Chemain,May,RootCount,24
3,Chemain,May,RootCount,1
3,Chemain,May,RootCount,29
3,Chemain,May,RootCount,0
4,Chemain,May,RootCount,1
4,Chemain,May,RootCount,6
4,Chemain,May,RootCount,22
4,Chemain,May,RootCount,0
1,Fieldry,April,RootCount,101
1,Fieldry,April,RootCount,184
1,Fieldry,April,RootCount,9
1,Fieldry,April,RootCount,137
2,Fieldry,April,RootCount,1076
2,Fieldry,April,RootCount,401
2,Fieldry,April,RootCount,80
2,Fieldry,April,RootCount,768
3,Fieldry,April,RootCount,510
3,Fieldry,April,RootCount,703
3,Fieldry,April,RootCount,53
3,Fieldry,April,RootCount,599
4,Fieldry,April,RootCount,502
4,Fieldry,April,RootCount,530
4,Fieldry,April,RootCount,73
4,Fieldry,April,RootCount,585
1,Fieldry,control,RootCount,182
1,Fieldry,control,RootCount,868
1,Fieldry,control,RootCount,500
1,Fieldry,control,RootCount,710
2,Fieldry,control,RootCount,676
2,Fieldry,control,RootCount,1200
2,Fieldry,control,RootCount,145
2,Fieldry,control,RootCount,1304
3,Fieldry,control,RootCount,901
3,Fieldry,control,RootCount,725
3,Fieldry,control,RootCount,51
3,Fieldry,control,RootCount,1753
4,Fieldry,control,RootCount,1103
4,Fieldry,control,RootCount,270
4,Fieldry,control,RootCount,30
4,Fieldry,control,RootCount,638
1,Fieldry,June,RootCount,48
1,Fieldry,June,RootCount,83
1,Fieldry,June,RootCount,0
1,Fieldry,June,RootCount,79
2,Fieldry,June,RootCount,65
2,Fieldry,June,RootCount,154
2,Fieldry,June,RootCount,0
2,Fieldry,June,RootCount,82
3,Fieldry,June,RootCount,29
3,Fieldry,June,RootCount,307
3,Fieldry,June,RootCount,3
3,Fieldry,June,RootCount,470
4,Fieldry,June,RootCount,185
4,Fieldry,June,RootCount,461
4,Fieldry,June,RootCount,20
4,Fieldry,June,RootCount,217
1,Fieldry,May,RootCount,201
1,Fieldry,May,RootCount,116
1,Fieldry,May,RootCount,0
1,Fieldry,May,RootCount,211
2,Fieldry,May,RootCount,639
2,Fieldry,May,RootCount,373
2,Fieldry,May,RootCount,39
2,Fieldry,May,RootCount,64
3,Fieldry,May,RootCount,1394
3,Fieldry,May,RootCount,378
3,Fieldry,May,RootCount,33
3,Fieldry,May,RootCount,856
4,Fieldry,May,RootCount,1331
4,Fieldry,May,RootCount,458
4,Fieldry,May,RootCount,7
4,Fieldry,May,RootCount,232
